rank,name,url,overallRating,easeOfUse,design,features,outputs,privacy,accountFriction,resultQuality,Progressive group reveal,Interactive assignment process,Manual post-generation editing,bestFor,pricing,tags
1,GroupMixer,https://www.groupmixer.app,4.7,4.6,4.1,4.8,4.9,4.5,4.3,5.0,yes,no,yes,Almost every group generation usecase,"Free browser-based tool. Standard grouping is unlimited without an account for up to 50 active people when attendance and group bounds stay the same. Advanced generation (over 50 active people, partial attendance, or changing group-size limits between rounds) requires a verified free account with 3 generations per UTC day. Pro is €6.99/month for unlimited advanced generation and cloud sync.","multi-round,constraints,privacy-friendly,strong-exports"
2,ChatGPT Pro Extended Reasoning,https://chatgpt.com/plans/pro/,4.5,4.5,4.4,5.0,5.0,2.1,2.0,5.0,no,no,no,Complex natural-language grouping drafts when cost and verification are acceptable,Paid ChatGPT Pro plan; pricing has varied by Pro tier/region and is far more expensive than typical group-generator tools. Business/Enterprise privacy defaults are different from consumer Pro.,"multi-round,constraints,strong-exports,ai-assisted"
3,Social Golfer Online,https://socialgolfer.online/,4.3,3.3,4.0,4.5,4.4,3.6,2.0,4.6,no,no,yes,"Golf leagues, trips, tournaments, and other multi-round schedules where avoiding repeat pairings matters",Free during beta for individual non-commercial use. The site says beta registrants are grandfathered into Lifetime Premium at $0 if paid tiers are introduced; agent/club/pro features may require direct access or future tiers.,"multi-round,constraints,strong-exports"
4,TourneyCard Golf Randomizer,https://tourneycard.com/,4.3,4.0,3.8,4.4,4.0,3.0,4.6,4.1,no,no,no,"Social-golfer-style golf schedule optimizer with repeat diagnostics, partner preferences, and Excel/Markdown output",Free web tool with optional Clerk sign-in.,"multi-round,constraints,strong-exports"
5,Clever Groups,https://clevergroups.com/tryit,4.2,3.2,3.3,4.4,4.0,2.8,3.0,4.1,no,no,yes,"Preference-based classroom, camp, event, and accommodation grouping","Free try-it mode without registration. Registration unlocks saved teams, multiple teams, spreadsheet import, and student self-entry workflows; site copy says the service has been free, but subscription/payment infrastructure exists in the privacy policy.","constraints,self-join,strong-exports"
6,Balanced Random Team Maker / Hobbada,https://hobbada.github.io/en/,4.1,3.7,3.8,4.4,3.4,3.0,5.0,4.0,no,no,no,"Multilingual browser team maker with ability balancing, keep-apart, keep-together, and captains",Free browser tool. No signup required.,constraints
7,CATME Team-Maker,https://info.catme.org/features/team-maker/,4.1,2.7,3.4,4.6,3.3,2.7,1.8,4.5,no,no,no,Criterion-based student team formation with weighted instructor survey criteria,Account-based CATME instructor system; request/login required.,constraints
8,ClassroomGroupGenerator.com,https://classroomgroupgenerator.com/,4.1,4.0,4.2,4.2,4.1,3.6,4.6,3.8,no,no,no,"Teachers who want browser-saved rosters, constraints, presentation mode, and classroom-tool integration","Free guest workflow with browser-only storage and no signup required. Pro is advertised at $2.99/month for cloud saving, multi-device sync, AI tools, support, and related classroom-suite features.","constraints,strong-exports"
9,Group Balancer,https://groupbalancer.com/,4.1,4.0,4.0,4.1,3.4,3.8,4.5,3.6,no,no,yes,"Reusable group generator with bags, multi-person slips, custom group sizes, editing, sharing, and history",Free web tool with guest mode and optional account sync.,constraints
10,gruepr,https://github.com/gruepr/gruepr,4.1,2.6,3.1,4.7,4.0,4.2,3.4,4.4,no,no,yes,Open-source optimized student-team formation from survey/CSV data,Free open-source desktop app. Requires installing/running the app.,"constraints,strong-exports"
11,TeamBracket Generator,https://teambracketgenerator.com/,4.1,4.4,4.2,4.1,4.3,4.2,5.0,3.9,no,no,no,Browser-local random/skill-balanced teams plus printable tournament brackets,Free browser tool. No signup required.,"privacy-friendly,strong-exports"
12,Visimon Breakout Room Generator Lite,https://www.visimon.de/breakout-room-generator-lite/,4.1,4.0,3.7,4.2,3.1,4.6,5.0,4.3,no,no,no,Repeat-aware breakout groups across several rounds with encounter reporting,Free public Lite generator; no signup or payment was required in the reviewed workflow. The page links a downloadable local HTML version.,"multi-round,privacy-friendly"
13,Barasu-kun,https://yto.github.io/barasu/barasukun.html,4.0,3.6,3.2,4.1,3.2,4.7,5.0,4.2,no,no,no,Japanese repeated grouping with low repeat co-member overlap,Free static browser tool. No account required.,"multi-round,privacy-friendly"
14,Educatarea Random Group Generator,https://educatarea.com/random-group-generator/,4.0,3.7,3.1,4.0,4.5,3.1,5.0,3.6,no,no,no,"Teachers who need roles, restrictions, multiple pools, history, PDF, and print without an account",Free web tool. No account required.,"constraints,strong-exports"
15,Good-Enough Golfers,https://goodenoughgolfers.com/,4.0,3.2,2.4,3.8,3.5,4.8,5.0,4.0,no,no,no,Simple social-golfer-style multi-round schedules,Free and open source; optional tip jar. No account or subscription required.,"multi-round,constraints,privacy-friendly,strong-exports"
16,GoTimer Group Generator,https://gotimer.org/classroom/group-generator,4.0,4.1,3.8,3.8,3.0,3.0,5.0,3.6,no,no,no,"Teacher group generator with seed, fullscreen, save, copy, and recent-repeat avoidance",Free web tool. Login exists elsewhere but not required for generator.,
17,Grouper.school,https://grouper.school/,4.0,3.4,4.6,4.1,3.3,4.0,1.6,4.0,no,no,no,Account-based classroom grouping with Google Classroom/Clever rosters and student attributes,"Free plan includes randomized/custom groups, smart groups using up to two student attributes, do-not-group-with, absent marking, recent groupings for 7 days, Live Mode, Google Classroom/Clever auto-roster, and up to 40 students per class. Pro is advertised at $6.99/month per teacher annually and adds unlimited attributes, roles, permanent saved groupings, larger classes, AI-assisted imports, co-teacher support, and priority support.",constraints
18,Halftime Team Pairings,https://halftime.coffee/tools/team-pairings,4.0,4.0,3.8,3.8,3.2,2.8,4.8,3.7,no,no,no,"Pair/group generator with recent-repeat avoidance, markdown/text copy, saved browser history, and saved rounds",Free web tool with product signup elsewhere; no account required for reviewed pairing tool.,constraints
19,IIENSTITU Zufallsgruppen Generator,https://www.iienstitu.com/de/tools/random-group-generator,4.0,3.8,3.6,4.3,3.3,1.8,5.0,3.8,no,no,no,"German random group generator with keep-together/separate rules, level balancing, repeat-pair avoidance, leaders, saved lists, and CSV export",Free web tool. No account required for the reviewed page.,constraints
